"Bid";"Author";"Year";"Title corrected";"General category";"Keywords";"Typology";"Period";"Subjects"
"LO10395295";"Marchesi, Vincenzo";1916;"Storia documentata della rivoluzione e della difesa di Venezia negli anni 1848-49 tratta da fonti italiane ed austriache";"history";1848;;"xix";
"LO10367872";"Trevelyan, George Macaulay";1926;"Daniele Manin e la rivoluzione veneziana del 1848";"history";1848;;"xix";"VENEZIA - Storia - 1848-1849; MANIN, DANIELE; Venezia - Rivoluzione - 1848-49; Manin, Daniele; Rivoluzione veneziana; Venezia - Storia ; XIX"
"IEI0190940";"Ragg, Laura M";1928;"Crises in Venetian history";"history";;;"renaissance; xvii; xviii";"STORIA DI VENEZIA (PROV.); VENEZIA - Storia; Venezia - Storia ; XIV-XVIII"
"LO10095850";"Otway, Thomas";1935;"Venezia salvata, ossia Una congiura scoperta";"history";"politics";;"xvii";"CONGIURA DEGLI SPAGNOLI. 1618; VENEZIA <REPUBBLICA> - Storia - Congiura degli Spagnoli. 1618; Congiura del 1618; Venezia; Venezia (Repubblica) - Storia - 1618; Venezia (repubblica) - storia; XVII"
"TO00053625";"Pirenne, Henri";1937;"Economic and social history of Medieval Europe";"history";"economics; social";;"middle ages";"MEDIOEVO; Europa - Storia; Storia economica; storia medievale"
"LO10095695";"Bassani, Ugo";1938;"Venezia nel 1849 : cronaca inedita";"history";1848;"primary";"xix";"STORIA. VENEZIA. 1831-1849; Venezia - Rivoluzione - 1848-49; Venezia - Storia moderna; Manin, Daniele (1804-57) ; uomo politico veneziano; Venezia - storia; XIX"
"LO10324523";"Nani Mocenigo, Mario";1938;"L'Arsenale di Venezia";"history";"industry";;;"Venezia; VENEZIA - Arsenale - Storia; Arsenale di Venezia; Arsenale; Arsenale di Venezia; Venezia; VENEZIA - Arsenale - Storia; Arsenale di Venezia; Arsenale; Arsenale di Venezia; Cantieri navali - Venezia - Storia"
"CUB0225844";"Da Mosto, Andrea";1939;"I dogi di Venezia con particolare riguardo alle loro tombe";"history";"government; politics";;;"DOGI VENEZIANI - Tombe; Venezia (repubblica) - dogi"
"MIL0300192";"Cappovin, Giorgio";1942;"Tripoli e Venezia nel secolo 18";"history";"politics";;"xviii";"Venezia; Tripoli; Tripoli - Relazioni con Venezia - Sec. 18.; Venezia - Relazioni con Tripoli - Sec. 18.; Venezia e Tripoli - Sec. 18; Venezia (repubblica) - storia; XVIII"
"IEI0024913";"Damerini, Gino";1943;"Le isole jonie nel sistema adriatico : dal dominio veneziano a Buonaparte";"history";"empire";;"xviii; xix";"Venezia <Repubblica> - Storia - Sec. 13.-18; Isole Ionie - Dominio veneziano - Sec. 13.-18.; Grecia - Dominazione [di] Venezia"
"RAV0233192";"Trincanato, Egle Renata";1948;"Venezia minore";"architecture";;;;"ARCHITETTURA. Venezia; ARCHITETTURA; VENEZIA - Palazzi; Venezia; VENEZIA - Storia; Architettura - Venezia"
"NAP0107040";"Pittaluga, Mary";1952;"Acquafortisti veneziani del Settecento";"arts";"books";;"xviii";"FORME DI STAMPA . ITALIA; Venezia-18. sec; Acqueforti-18. sec; ACQUEFORTI - Venezia - Sec. 18.; Venezia - arte; XVIII"
"NAP0191244";"Lopez, Roberto S";1955;"Medieval trade in the Mediterranean world : illustrative documents";"history";"economics; commerce";;"middle ages";"MEDIOEVO; Mediterraneo; Documenti medievali; Mediterraneo - storia economica; X-XV"
