id;bid;title;author;lb;year;consultation;indegree;outdegree;degree;core_type;core_age
33721;PUV0734679;Delle inscrizioni veneziane;Cicogna, Emmanuele Antonio;False;1824;False;139;0;139;2;2
36664;NAP0063585;Storia documentata di Venezia;Romanin, Samuele;False;;False;122;0;122;3;2
11271;RAVE005968;Ecclesiae Torcellanae antiquis monumentis nunc etiam primum editis illustratae. Authore Flaminio Cornelio senatore veneto. Pars prima [-tertia, & ultima;Corner, Flaminio;False;1749;False;116;0;116;1;1
25022;MILE014246;Delle memorie venete antiche profane ed ecclesiastiche raccolte da Giambattista Gallicciolli. Libri tre. Tomo 1. [- 8.;Gallicciolli, Giambattista;False;1795;False;93;0;93;1;1
36828;VEA0018926;Storia della popolazione di Venezia dalla fine del secolo 16. alla caduta della repubblica;Beltrami, Daniele;False;1954;False;93;0;93;3;3
16266;TO00633542;Venetia cittá nobilissima et singolare;Sansovino, Francesco;False;1998;False;90;0;90;1;3
16281;CUB0460914;La storia di Venezia nella vita privata dalle origini alla caduta della Repubblica;Molmenti, Pompeo;False;1927;False;87;0;87;3;2
19192;CUB0423792;L'architettura e la scultura del Rinascimento in Venezia;Paoletti, Pietro;False;1893;False;85;0;85;3;2
29786;SBL0129998;Storia economica di Venezia dall'11. al 16. secolo;Luzzatto, Gino;True;1961;False;75;0;75;3;3
4304;SBL0229217;Rich and poor in Renaissance Venice : the social institutions of a catholic state, to 1620;Pullan, Brian;True;1971;False;74;140;214;3;3
23401;SBL0009635;The decline of the Venetian nobility as a ruling class;Davis, James Cushman;True;1962;False;73;55;128;3;3
1964;VIA0031948;De origine, situ et magistratibus urbis Venetae, ovvero La città di Venetia (1493-1530;Sanudo, Marino;False;1980;False;72;0;72;1;3
1360;PUV0913148;Dizionario del dialetto veneziano;Boerio, Giuseppe;False;1856;False;67;0;67;2;2
36723;TO00307000;Venice : a maritime republic;Lane, Frederic Chapin;True;1973;False;66;0;66;3;3
5004;MIL0047683;Civic ritual in renaissance Venice;Muir, Edward;True;1981;False;66;211;277;3;3
18252;VEA0062044;Le chiese di Venezia;Franzoi, Umberto;False;1975;False;65;0;65;3;3
