"","age_category","author","availability","core","id","in_degree","is_cited","is_citing","lb","out_degree","place","publ_country","publ_language","title","type_category","year","topicality_final","topicality","bridging_final","community_max"
"BA1E000737","1.0","Coronelli, Vincenzo Maria","6","True","5321","12","True","False","False","0","In Venetia","IT","ita","Atlante veneto, nel quale si contiene la descrittione geografica, storica, sacra, profana, e politica, degl'imperij, regni, provincie, e stati dell'universo, ... coll'aggiunta di tutti li Paesi nuovamente scoperti, accresciuto di molte tavole geografiche, ... Opera, e studio del padre maestro Coronelli ... ad uso dell'Accademia cosmografica degli Argonauti. Tomo 1","1.0","1696.0","0.3032258064516129","0.9032258064516129","-0.1954838709677419","0"
"BAS0152814","2.0","Zanotto, Francesco","2","True","34956","16","True","False","False","0","Venezia","IT","ita","Il palazzo ducale di Venezia","3.0","","0.19999999999999996","1.0","-0.5727272727272728","0"
"BMT0005759","2.0","Saccardo, Pierre","1","True","13370","11","True","False","False","0","Venise","FR","fre","Les mosaïques de Saint - Marc a Venise","3.0","1896.0","0.0625","1.0","-0.44642857142857145","0"
"BRI0008838","3.0","Lane, Frederic Chapin","12","True","32842","39","True","False","False","0","Torino","IT","ita","Storia di Venezia","3.0","1978.0","-0.07653292274250528","0.4262295081967213","0.11413519306826081","0"
"BRI0024463","2.0","Cecchetti, Bartolomeo","17","True","21570","22","True","False","False","0","Venezia","IT","ita","Il doge di Venezia","3.0","1864.0","0.12618724559023076","0.6716417910447762","-0.1321800090456806","2"
"BRI0024465","2.0","Tassini, Giuseppe","11","True","3392","33","True","False","False","0","Venezia","IT","ita","Edifici di Venezia distrutti o volti ad uso diverso da quello a cui furono in origine destinati","3.0","1885.0","0.42162471395881007","0.9868421052631579","-0.7227750081726054","0"
"BRI0024467","2.0","Tassini, Giuseppe","13","True","2115","38","True","False","False","0","Venezia","IT","ita","Alcuni palazzi ed antichi edificii di Venezia storicamente illustrati : con annotazioni","3.0","1879.0","0.4475245736694099","0.9957173447537473","-1.129698666185083","0"
"BRI0024494","2.0","Sagredo, Agostino","23","True","33162","60","True","False","False","0","Venezia","IT","ita","Sulle consorterie delle arti edificative in Venezia : studi storici","3.0","1856.0","0.35493609397115355","0.8172231985940246","-0.3167400014538675","0"
"BRI0024509","2.0","Sanudo, Marino","9","True","19044","10","True","False","False","0","Venezia","IT","ita","Cronachetta","1.0","1880.0","0.3406593406593407","0.7692307692307693","-1.043956043956044","1"
"BRI0024618","2.0","Molmenti, Pompeo","37","True","24665","14","True","False","False","0","Torino","IT","ita","La dogaressa di Venezia","3.0","1884.0","-0.39880952380952384","0.47619047619047616","0.3727678571428572","0"
"BRI0025429","2.0","Levi, Cesare Augusto","18","True","10057","14","True","False","False","0","Venezia","IT","ita","Notizie storiche di alcune antiche scuole d'arti e mestieri scomparse o esistenti ancora in Venezia","3.0","1895.0","0.23529411764705876","0.8235294117647058","-0.9705882352941176","0"
"BRI0025713","2.0","Borgherini Scarabellin, Maria","13","True","22855","12","True","False","False","0","Venezia","IT","ita","Il magistrato dei cinque savi alla mercanzia dalla istituzione alla caduta della Repubblica : studio storico su documenti d'archivio","3.0","1925.0","0.4655172413793104","0.9655172413793104","-1.2600574712643677","1"
"BVE0001674","3.0","Grendler, Paul F","28","True","7419","11","True","False","False","0","Baltimore","US","eng","Schooling in Renaissance Italy : literacy and learning, 1300-1600","3.0","1989.0","0.21052631578947367","1.0","-0.9203216374269005","1"
"BVE0002087","3.0","Goffen, Rona","21","True","15046","20","True","True","True","130","New Haven","US","eng","Piety and patronage in Renaissance Venice : Bellini, Titian and the Franciscans","3.0","1986.0","-0.006009615384615419","0.859375","-0.18930288461538458","0"
"BVE0005002","3.0","Caniato, Giovanni","37","True","37206","23","True","False","False","0","Roma","IT","ita","Le arti edili a Venezia","3.0","1990.0","0.4403100775193798","0.9069767441860465","-0.5153100775193798","0"
"BVE0006593","3.0","a cura di Giorgio Busetto, Madile Gambier","58","True","27223","10","True","True","True","206","Venezia","IT","ita","I Querini Stampalia : un ritratto di famiglia nel settecento veneziano","3.0","1987.0","0.11312217194570129","0.8823529411764706","-0.3303167420814479","0"
"BVE0051905","3.0","Viggiano, Alfredo","48","True","7953","14","True","True","True","113","Treviso","IT","ita","Governanti e governati : legittimità del potere ed esercizio dell'autorità sovrana nello Stato veneto della prima età moderna","3.0","1993.0","0.42307692307692313","1.0","-1.1474358974358976","1"
"BVE0076240","1.0","Sanudo, Marino","16","True","25315","12","True","False","False","0","Bologna","IT","ita","I diarii","1.0","","0.2857142857142857","1.0","-1.353174603174603","1"
"BVE0091608","3.0","Distefano, Giovanni","83","True","36911","10","True","False","False","0","Venezia","IT","ita","Storia di Venezia, 1797-1997","3.0","","0.2692307692307693","0.7692307692307693","0.35576923076923084","3"
"BVE0192209","3.0","Hocquet, Jean-Claude","1","True","3182","10","True","False","False","0","Lille","FR","fre","Le sel et la fortune de Venise","3.0","1979.0","0.0","0.8333333333333334","-0.5833333333333333","2"
"BVE0193041","3.0","Howard, Deborah","7","True","28287","12","True","True","True","86","London","GB","eng","The architectural history of Venice","3.0","1980.0","0.16666666666666663","1.0","-1.1666666666666667","0"
"BVE0258000","3.0","Braunstein, Philippe","1","True","14329","25","True","False","False","0","Paris","FR","fre","Venise : portrait historique d'une cité","3.0","1982.0","-0.042563600782778876","0.4931506849315068","0.27503261578604055","2"
"BVE0280461","3.0","Davis, James Cushman","3","True","17532","12","True","False","False","0","Roma","IT","ita","Una famiglia veneziana e la conservazione della ricchezza : i Donà dal '500 al '900","3.0","1980.0","0.37826086956521743","0.9782608695652174","-0.7226086956521739","1"
"BVE0285935","3.0","Logan, Oliver","7","True","26979","19","True","False","False","0","Roma","IT","ita","Venezia : cultura e società, 1470-1790","3.0","1980.0","0.27464788732394363","0.7746478873239436","-0.1777190923317684","0"
"BVE0592559","3.0","Morando di Custoza, Eugenio","2","True","35761","11","True","False","False","0","Verona","IT","ita","Libro d'arme di Venezia","1.0","1979.0","0.2916666666666667","0.625","-1.0381944444444444","0"
"BVE0629361","3.0","Pallucchini, Rodolfo","2","True","28935","26","True","False","False","0","Venezia","IT","ita","La pittura veneziana del Settecento","3.0","1960.0","0.3919942873011465","0.9963898916967509","-1.1221486095132305","0"
"BVE0664292","3.0","Tamassia Mazzarotto, Bianca","1","True","26488","25","True","False","False","0","Firenze","IT","ita","Le feste veneziane : i giuochi popolari, le cerimonie religiose e di governo","3.0","1961.0","-0.09167625623321818","0.6962025316455697","0.47410817031070196","0"
"BVE0705965","3.0","a cura di] Giandomenico Romanelli, Susanna Biadene","1","True","11584","12","True","False","False","0","Venezia","IT","ita","Venezia: piante e vedute : catalogo del fondo cartografico a stampa","2.0","1982.0","0.31818181818181823","1.0","-1.059090909090909","0"
"CAG0567157","3.0","Dorigo, Wladimiro","146","True","10055","14","True","False","False","0","Venezia","IT","ita","Venezia romanica : la formazione della città medioevale fino all'età gotica","3.0","2003.0","0.0625","0.9375","-0.4895833333333333","0"
"CAG0716652","2.0","Vecellio, Cesare","4","True","780","15","True","False","False","0","Paris","FR","ita","Habiti antichi et moderni di tutto il mondo","1.0","1860.0","0.0","0.5357142857142857","0.2142857142857142","1"
"CFI0002093","3.0","Bellavitis, Giorgio","59","True","29202","19","True","True","True","80","Venezia","IT","ita","L'arsenale di Venezia : storia di una grande struttura urbana","3.0","1983.0","0.05972222222222223","0.6222222222222222","0.4156249999999999","0"
"CFI0004105","3.0","Martini, Egidio","40","True","7022","15","True","False","False","0","Udine","IT","ita","La pittura del Settecento veneto","3.0","1982.0","0.32258064516129037","1.0","-0.9392059553349876","0"
