"","age_category","author","availability","core","id","in_degree","is_cited","is_citing","lb","out_degree","place","publ_country","publ_language","title","type_category","year","topicality_final","topicality","bridging_final","community_max"
"BA1E000737","1.0","Coronelli, Vincenzo Maria","6","True","5321","12","True","False","False","0","In Venetia","IT","ita","Atlante veneto, nel quale si contiene la descrittione geografica, storica, sacra, profana, e politica, degl'imperij, regni, provincie, e stati dell'universo, ... coll'aggiunta di tutti li Paesi nuovamente scoperti, accresciuto di molte tavole geografiche, ... Opera, e studio del padre maestro Coronelli ... ad uso dell'Accademia cosmografica degli Argonauti. Tomo 1","1.0","1696.0","-0.10765550239234456","0.6818181818181818","0.052631578947368474","architecture"
"BAS0152814","2.0","Zanotto, Francesco","2","True","34956","16","True","False","False","0","Venezia","IT","ita","Il palazzo ducale di Venezia","3.0","","-0.14375000000000004","0.65625","0.4504464285714286","arts"
"BMT0005759","2.0","Saccardo, Pierre","1","True","13370","11","True","False","False","0","Venise","FR","fre","Les mosaïques de Saint - Marc a Venise","3.0","1896.0","0.4","1.0","-0.875","arts"
"BRI0008838","3.0","Lane, Frederic Chapin","12","True","32842","39","True","False","False","0","Torino","IT","ita","Storia di Venezia","3.0","1978.0","-0.0034572169403630504","0.8426966292134831","-0.17986452970576078","history"
"BRI0024463","2.0","Cecchetti, Bartolomeo","17","True","21570","22","True","False","False","0","Venezia","IT","ita","Il doge di Venezia","3.0","1864.0","0.19761904761904758","0.7333333333333333","-0.07380952380952377","history"
"BRI0024465","2.0","Tassini, Giuseppe","11","True","3392","33","True","False","False","0","Venezia","IT","ita","Edifici di Venezia distrutti o volti ad uso diverso da quello a cui furono in origine destinati","3.0","1885.0","-0.14068709705908333","0.7100591715976331","0.1717595454679267","architecture"
"BRI0024467","2.0","Tassini, Giuseppe","13","True","2115","38","True","False","False","0","Venezia","IT","ita","Alcuni palazzi ed antichi edificii di Venezia storicamente illustrati : con annotazioni","3.0","1879.0","0.27434531428373754","0.843065693430657","-0.12998581658421837","architecture"
"BRI0024494","2.0","Sagredo, Agostino","23","True","33162","60","True","False","False","0","Venezia","IT","ita","Sulle consorterie delle arti edificative in Venezia : studi storici","3.0","1856.0","-0.26458543533740875","0.6024096385542169","0.3012790076562407","history"
"BRI0024509","2.0","Sanudo, Marino","9","True","19044","10","True","False","False","0","Venezia","IT","ita","Cronachetta","1.0","1880.0","0.0","0.9375","-0.1875","history"
"BRI0024618","2.0","Molmenti, Pompeo","37","True","24665","14","True","False","False","0","Torino","IT","ita","La dogaressa di Venezia","3.0","1884.0","0.4782608695652174","0.9782608695652174","-0.5688405797101449","history"
