"Source";"Target";"Type";"Weight"
7730;6633;"Undirected";1
29433;10030;"Undirected";1
10838;22694;"Undirected";2
35231;11675;"Undirected";2
4965;22344;"Undirected";1
28300;30201;"Undirected";1
29423;10808;"Undirected";5
33247;27134;"Undirected";2
926;1534;"Undirected";2
33482;37312;"Undirected";5
6326;30504;"Undirected";2
5544;20477;"Undirected";1
18391;25715;"Undirected";2
34791;22334;"Undirected";1
1979;9130;"Undirected";4
25067;25796;"Undirected";1
32514;18621;"Undirected";1
28751;32895;"Undirected";2
26232;23163;"Undirected";5
25398;9927;"Undirected";2
21971;5794;"Undirected";1
33207;9242;"Undirected";1
32140;29052;"Undirected";5
1979;11526;"Undirected";4
32585;11675;"Undirected";1
30610;28124;"Undirected";5
11179;562;"Undirected";2
30528;29465;"Undirected";3
17962;11559;"Undirected";10
33482;4937;"Undirected";3
16924;20668;"Undirected";5
14008;15565;"Undirected";4
11526;7938;"Undirected";1
26671;28751;"Undirected";1
9825;9497;"Undirected";4
22606;11821;"Undirected";1
17418;26728;"Undirected";4
6958;5504;"Undirected";3
7730;22694;"Undirected";5
7516;32895;"Undirected";1
6536;22303;"Undirected";6
18325;14327;"Undirected";1
18325;4965;"Undirected";1
29279;8221;"Undirected";1
31165;32026;"Undirected";1
11738;25715;"Undirected";1
17212;2364;"Undirected";1
32140;11933;"Undirected";1
21971;25633;"Undirected";3
28394;26072;"Undirected";2
572;32895;"Undirected";1
7012;3542;"Undirected";1
13665;31841;"Undirected";4
26857;12520;"Undirected";1
27912;2154;"Undirected";1
23477;18294;"Undirected";1
35374;27103;"Undirected";1
25633;11986;"Undirected";1
32140;267;"Undirected";1
6536;21651;"Undirected";1
29463;21535;"Undirected";3
9603;24006;"Undirected";2
16012;29533;"Undirected";1
36776;2154;"Undirected";1
14831;22963;"Undirected";5
12256;31043;"Undirected";9
28124;8221;"Undirected";1
8785;36353;"Undirected";2
34795;13364;"Undirected";3
33361;13979;"Undirected";1
17621;24676;"Undirected";2
6412;26688;"Undirected";1
31165;30697;"Undirected";1
12288;31495;"Undirected";9
27012;10799;"Undirected";1
36165;15565;"Undirected";11
7523;12119;"Undirected";1
30648;1534;"Undirected";1
1295;30443;"Undirected";1
35231;631;"Undirected";2
30798;24860;"Undirected";2
614;7700;"Undirected";1
12326;6270;"Undirected";1
29423;2643;"Undirected";1
1349;7938;"Undirected";1
9242;8391;"Undirected";1
21350;35794;"Undirected";1
6958;21530;"Undirected";2
35942;13473;"Undirected";1
14349;30573;"Undirected";2
13465;3421;"Undirected";1
22334;33247;"Undirected";3
28978;29463;"Undirected";3
20206;20477;"Undirected";1
29539;11490;"Undirected";1
31050;21857;"Undirected";4
3499;12256;"Undirected";2
16673;32964;"Undirected";2
30528;11490;"Undirected";7
30138;644;"Undirected";2
1809;15621;"Undirected";1
32585;31050;"Undirected";1
31185;36776;"Undirected";3
19219;32690;"Undirected";2
2922;17454;"Undirected";1
14176;7674;"Undirected";5
2474;11672;"Undirected";2
21971;16540;"Undirected";1
22963;7422;"Undirected";2
26728;7730;"Undirected";3
7674;740;"Undirected";5
9927;13715;"Undirected";2
27012;120;"Undirected";2
36010;23216;"Undirected";1
9927;3512;"Undirected";2
13912;32895;"Undirected";2
35058;20477;"Undirected";1
32502;32895;"Undirected";6
14095;30057;"Undirected";1
23477;24696;"Undirected";2
19760;32514;"Undirected";2
614;13473;"Undirected";1
21546;29964;"Undirected";1
8984;4926;"Undirected";1
36353;27159;"Undirected";1
32140;34868;"Undirected";1
1618;31841;"Undirected";1
3796;8391;"Undirected";1
4249;29010;"Undirected";22
37497;26895;"Undirected";1
23492;10808;"Undirected";1
7991;4369;"Undirected";1
24952;7908;"Undirected";1
24026;1680;"Undirected";1
24304;22894;"Undirected";1
7078;21849;"Undirected";1
16924;28291;"Undirected";1
13293;13665;"Undirected";6
13465;37324;"Undirected";3
16012;25633;"Undirected";2
24098;4189;"Undirected";1
31165;30648;"Undirected";2
32493;36463;"Undirected";4
30810;26895;"Undirected";1
12295;1680;"Undirected";1
29129;2221;"Undirected";3
14831;17418;"Undirected";4
6679;16673;"Undirected";2
17596;30613;"Undirected";2
12659;22963;"Undirected";5
1498;33886;"Undirected";5
31341;30573;"Undirected";1
5030;7481;"Undirected";1
20206;6820;"Undirected";1
13818;19812;"Undirected";2
33361;18070;"Undirected";2
18391;16973;"Undirected";2
26671;10808;"Undirected";1
36710;7674;"Undirected";10
22303;31043;"Undirected";1
