"Id";"Bid";"Title";"Author";"LB";"Year";"Consultation";"General_category";"Keywords";"Typology";"Periods"
28087;"BRI0011952";"Il teatro La Fenice : i progetti, l'architettura, le decorazioni";"Brusatin, Manlio";True;1987;False;"architecture";"entertainment";"";""
29279;"BVE0000359";"Venetian vernacular architecture : traditional housing in the Venetian lagoon";"Goy, Richard John";True;1989;False;"architecture";"urban";"";""
17399;"BVE0002087";"Piety and patronage in Renaissance Venice : Bellini, Titian and the Franciscans";"Goffen, Rona";True;1986;False;"history";"arts; religion";"";"renaissance"
13897;"BVE0003023";"New Aldine studies : documentary essays on the life and work of Aldus Manutius";"Fletcher, Harry George";True;1988;True;"history";"books; individuals";"";"renaissance"
23658;"BVE0005204";"Giambattista and Lorenzo Bregno : Venetian sculpture in the High Renaissance";"Schulz, Anne Markham";True;1991;False;"arts";"monuments; individuals";"";"renaissance"
4249;"BVE0006593";"I Querini Stampalia : un ritratto di famiglia nel settecento veneziano";"a cura di Giorgio Busetto, Madile Gambier";True;1987;True;"history";"elites";"catalogue";"xviii"
8984;"BVE0009375";"The Doge of Venice : the symbolism of state power in the Renaissance";"Boholm, Åsa";True;1990;True;"history";"politics";"";""
19685;"BVE0013664";"Tommaso Temanza e l'architettura civile : Venezia e il settecento: diffusione e funzionalizzazione dell'architettura";"Valle, Patrizia";True;1989;False;"architecture";"individuals";"";"xviii"
26100;"BVE0044553";"Venetian worlds : nobility and the cultural construction of society";"Boholm, Åsa";True;1993;True;"history";"elites; culture";"";""
13408;"BVE0051602";"Sarpi scettico : Stato e Chiesa a Venezia tra Cinque e Seicento";"Frajese, Vittorio";True;1994;False;"history";"individuals; politics; religion";"";"renaissance; xvii"
32355;"BVE0051905";"Governanti e governati : legittimità del potere ed esercizio dell'autorità sovrana nello Stato veneto della prima età moderna";"Viggiano, Alfredo";True;1993;True;"history";"government";"";"renaissance"
16012;"BVE0055905";"In nome del gran signore : inviati ottomani a Venezia dalla caduta di Costantinopoli alla guerra di Candia";"Pedani, Maria Pia";True;1994;True;"history";"politics";"";"renaissance; xvii"
5697;"BVE0058889";"Chiesa di San Trovaso : arte e devozione";"Caputo, Gianmatteo";True;1994;False;"architecture";"churches";"";""
30714;"BVE0058907";"Chiesa del Redentore : arte e devozione";"Gallo, Andrea";True;1994;False;"architecture";"churches";"";""
