"Source";"Target";"Type";"Year"
28087;13196;"Directed";1987
28087;3116;"Directed";1987
28087;21263;"Directed";1987
28087;35755;"Directed";1987
28087;19834;"Directed";1987
28087;33099;"Directed";1987
28087;16291;"Directed";1987
28087;5470;"Directed";1987
28087;24821;"Directed";1987
28087;22000;"Directed";1987
28087;3054;"Directed";1987
28087;9341;"Directed";1987
28087;3283;"Directed";1987
28087;1899;"Directed";1987
28087;1900;"Directed";1987
28087;11164;"Directed";1987
28087;33207;"Directed";1987
28087;88;"Directed";1987
28087;2707;"Directed";1987
28087;27140;"Directed";1987
28087;7970;"Directed";1987
28087;36898;"Directed";1987
28087;19853;"Directed";1987
28087;11404;"Directed";1987
28087;4027;"Directed";1987
28087;7303;"Directed";1987
28087;16587;"Directed";1987
28087;30112;"Directed";1987
28087;5462;"Directed";1987
28087;22476;"Directed";1987
28087;33150;"Directed";1987
28087;10597;"Directed";1987
28087;30791;"Directed";1987
28087;34745;"Directed";1987
28087;21885;"Directed";1987
28087;35805;"Directed";1987
28087;13473;"Directed";1987
28087;11434;"Directed";1987
28087;28458;"Directed";1987
28087;31379;"Directed";1987
28087;30731;"Directed";1987
28087;9747;"Directed";1987
28087;14313;"Directed";1987
28087;6480;"Directed";1987
28087;17236;"Directed";1987
28087;32798;"Directed";1987
28087;17087;"Directed";1987
28087;19132;"Directed";1987
28087;17386;"Directed";1987
28087;26957;"Directed";1987
28087;12246;"Directed";1987
28087;14171;"Directed";1987
29279;3593;"Directed";1989
29279;32558;"Directed";1989
29279;13424;"Directed";1989
29279;592;"Directed";1989
29279;19372;"Directed";1989
29279;35241;"Directed";1989
29279;13128;"Directed";1989
29279;17558;"Directed";1989
29279;13130;"Directed";1989
29279;19074;"Directed";1989
29279;3202;"Directed";1989
29279;4171;"Directed";1989
29279;4963;"Directed";1989
29279;34943;"Directed";1989
29279;14349;"Directed";1989
29279;14044;"Directed";1989
29279;1726;"Directed";1989
29279;23617;"Directed";1989
29279;23810;"Directed";1989
29279;5849;"Directed";1989
29279;27922;"Directed";1989
29279;22913;"Directed";1989
29279;16459;"Directed";1989
29279;17351;"Directed";1989
29279;29377;"Directed";1989
29279;28955;"Directed";1989
29279;19708;"Directed";1989
29279;36168;"Directed";1989
29279;20859;"Directed";1989
29279;16669;"Directed";1989
29279;16924;"Directed";1989
29279;29099;"Directed";1989
29279;11118;"Directed";1989
29279;31729;"Directed";1989
29279;9377;"Directed";1989
29279;8284;"Directed";1989
29279;1198;"Directed";1989
29279;16790;"Directed";1989
29279;35899;"Directed";1989
29279;7623;"Directed";1989
